k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
8.200231,1698.8998,3820.3826,10402.088,2.5206423,1.9691429,88.0,0.95195657,14.824465,62.333973,0.03922404,0.0011752322,-0.003330858,0.0013773293,-0.04351067,-0.041260827,0.07864339,0.0015953681
8.209112,1696.3829,3817.4146,10408.128,2.5202594,1.9754046,89.0,0.9520629,14.833151,62.37036,0.039231185,0.0011181349,-0.0031355256,0.0013787394,-0.043578614,-0.041458227,0.07888503,0.0016652828
8.217816,1693.9174,3814.3481,10414.159,2.5199091,1.9815909,90.0,0.95216495,14.841703,62.406082,0.039239302,0.0010566107,-0.0029383,0.0013805556,-0.043643586,-0.041654523,0.07912997,0.0017373965
8.226347,1691.5002,3811.1921,10420.181,2.519589,1.9877028,91.0,0.9522628,14.850089,62.441193,0.039249156,0.0009930803,-0.002739776,0.0013842178,-0.04370659,-0.04184952,0.07937615,0.0018102046
8.234708,1689.1287,3807.9543,10426.192,2.5192962,1.9937418,92.0,0.9523566,14.858349,62.475624,0.039258756,0.00092639634,-0.0025410973,0.0013873978,-0.043768685,-0.04204412,0.07962644,0.0018850416
8.242907,1686.8,3804.6418,10432.193,2.519028,1.9997089,93.0,0.9524468,14.8664665,62.509445,0.039296683,0.0008505916,-0.0023346343,0.0013998824,-0.043834012,-0.042240527,0.07988495,0.0019479964
8.250935,1684.5118,3801.2617,10438.185,2.5187817,2.0056052,94.0,0.9525337,14.874424,62.542564,0.03937465,0.00076368183,-0.0021174555,0.0014279658,-0.04390428,-0.042442977,0.08015321,0.001994669
8.258795,1682.2614,3797.8206,10444.165,2.5185552,2.0114317,95.0,0.95261675,14.882248,62.575066,0.039453074,0.00067353225,-0.0019005984,0.0014557178,-0.043973606,-0.042644728,0.08042494,0.0020411948
8.2665,1680.0465,3794.3237,10450.135,2.5183458,2.0171895,96.0,0.95269644,14.889959,62.60702,0.03953346,0.00058137544,-0.0016825949,0.0014842503,-0.044041842,-0.042844526,0.08069827,0.0020883786
8.274052,1677.865,3790.7766,10456.094,2.5181515,2.0228796,97.0,0.9527726,14.897521,62.638386,0.03961445,0.00048812653,-0.0014648223,0.0015144087,-0.044108126,-0.043044645,0.08097271,0.002136327
8.281458,1675.7147,3787.1846,10462.042,2.51797,2.028503,98.0,0.95284563,14.904978,62.66924,0.039697073,0.0003920825,-0.0012469445,0.0015446901,-0.044174224,-0.043243576,0.081249654,0.002184712
8.288715,1673.5936,3783.552,10467.9795,2.5177996,2.0340602,99.0,0.9529155,14.912302,62.699566,0.039780106,0.00029512832,-0.0010273154,0.0015765248,-0.04423848,-0.04344175,0.08152667,0.0022349495
8.295832,1671.5,3779.883,10473.905,2.517638,2.0395525,100.0,0.95298237,14.919516,62.72935,0.03986371,0.00019499368,-0.00080903573,0.0016088716,-0.0443008,-0.043638818,0.081805885,0.00228325
8.302807,1669.432,3776.1816,10479.82,2.5174837,2.0449805,101.0,0.95304614,14.92662,62.758667,0.03994912,9.384274e-05,-0.00059114536,0.0016425425,-0.04436255,-0.043835912,0.0820857,0.0023341582
8.309648,1667.3881,3772.4512,10485.724,2.5173347,2.0503452,102.0,0.9531071,14.933604,62.787437,0.040035583,-8.9526875e-06,-0.0003728629,0.001676528,-0.04442362,-0.04403171,0.082367495,0.0023845262
8.316357,1665.3668,3768.6953,10491.615,2.5171897,2.0556474,103.0,0.95316535,14.940484,62.81579,0.04012191,-0.00011328637,-0.00015600445,0.0017118917,-0.04448314,-0.044226147,0.08264904,0.0024350134
8.322933,1663.3666,3764.917,10497.496,2.5170474,2.0608876,104.0,0.9532209,14.9472475,62.843586,0.04020935,-0.00021846607,6.0939696e-05,0.0017479163,-0.044541102,-0.044420406,0.082931265,0.0024862248
8.329384,1661.386,3761.119,10503.365,2.5169063,2.0660667,105.0,0.95327383,14.953909,62.870987,0.040298145,-0.00032552422,0.0002767325,0.0017852222,-0.044599358,-0.04461387,0.08321501,0.0025381153
8.3357115,1659.4238,3757.3035,10509.223,2.5167646,2.0711854,106.0,0.9533243,14.960484,62.8979,0.0403878,-0.0004336872,0.0004919863,0.0018234777,-0.04465584,-0.04480602,0.08349974,0.0025892868
8.341915,1657.479,3753.4731,10515.069,2.5166216,2.0762444,107.0,0.95337224,14.966944,62.9244,0.040478233,-0.0005435107,0.0007067281,0.0018623157,-0.044711716,-0.044997826,0.08378389,0.0026413416
8.348002,1655.5503,3749.6301,10520.904,2.5164762,2.0812445,108.0,0.9534177,14.973304,62.950493,0.040569536,-0.0006543732,0.0009205893,0.001902584,-0.04476616,-0.045187555,0.08406958,0.0026927688
8.353977,1653.6366,3745.7761,10526.728,2.5163271,2.086186,109.0,0.95346105,14.979577,62.97612,0.04066164,-0.00076543697,0.0011347102,0.001943852,-0.04482009,-0.04537736,0.08435558,0.0027448349
8.359837,1651.7372,3741.913,10532.539,2.5161736,2.0910697,110.0,0.953502,14.985751,63.001347,0.040754847,-0.00087818794,0.0013470454,0.001986025,-0.044873085,-0.04556608,0.08464169,0.0027977694
8.365588,1649.8511,3738.0425,10538.339,2.5160146,2.0958965,111.0,0.95354086,14.9918375,63.026154,0.040849544,-0.0009927705,0.0015583611,0.002029384,-0.04492574,-0.045753054,0.08492835,0.002849917
8.37123,1647.9775,3734.166,10544.127,2.5158496,2.1006665,112.0,0.9535775,14.997832,63.050568,0.04094453,-0.0011076031,0.0017673441,0.002073467,-0.044976633,-0.045940395,0.085215636,0.0029023006
8.37677,1646.1158,3730.2847,10549.903,2.5156777,2.1053805,113.0,0.95361227,15.00374,63.07464,0.04104089,-0.0012231222,0.001977955,0.0021192725,-0.04502788,-0.046126578,0.0855023,0.0029548549
8.382204,1644.2651,3726.4,10555.669,2.5154982,2.110039,114.0,0.95364475,15.009552,63.098286,0.04113859,-0.001339864,0.002186155,0.002165681,-0.045078214,-0.046311785,0.08578987,0.0030073242
