k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
11.809471,2393.5134,5403.621,10821.88,3.530343,2.7214,108.0,0.46169853,13.399323,66.28307,0.9428057,0.0037086385,0.015714752,-0.006691167,-0.08693355,-0.08820679,0.35120112,-0.007227839
11.817119,2390.1562,5397.279,10831.736,3.5302486,2.7305846,109.0,0.46161085,13.407058,66.31734,0.94382197,0.0039460557,0.016277744,-0.0068902727,-0.087092705,-0.08870081,0.35142887,-0.0074785333
11.824572,2386.8335,5390.904,10841.574,3.5301564,2.7396638,110.0,0.46152878,13.41468,66.35101,0.94482774,0.0041835597,0.016829876,-0.007083874,-0.08724707,-0.08919516,0.35165247,-0.0077373744
11.831833,2383.5425,5384.5,10851.393,3.530064,2.748639,111.0,0.46144816,13.422179,66.38408,0.9458176,0.004419224,0.017380612,-0.0072755367,-0.08739742,-0.08968757,0.3518729,-0.007992585
11.838913,2380.281,5378.071,10861.191,3.5299697,2.7575114,112.0,0.46136874,13.429574,66.4167,0.94679385,0.004653722,0.01792566,-0.0074644955,-0.08754502,-0.0901794,0.3520913,-0.008238824
11.8458185,2377.0474,5371.6206,10870.972,3.5298715,2.7662818,113.0,0.4612908,13.43687,66.44877,0.94775575,0.0048853448,0.018466817,-0.0076533854,-0.08768899,-0.090668015,0.3523049,-0.00848279
11.852554,2373.8396,5365.1523,10880.731,3.529767,2.7749515,114.0,0.46123013,13.443958,66.47985,0.9487356,0.005056034,0.018914185,-0.007826631,-0.087814495,-0.091140844,0.35248655,-0.008681619
11.859097,2370.6562,5358.6694,10890.473,3.5296545,2.7835217,115.0,0.46117097,13.450926,66.510315,0.94970036,0.005225176,0.019355483,-0.007999263,-0.08793553,-0.09161105,0.3526631,-0.008877105
11.865468,2367.4956,5352.174,10900.193,3.5295327,2.7919931,116.0,0.46111307,13.457802,66.54037,0.95064926,0.0053920085,0.019794008,-0.008171416,-0.08805378,-0.09207923,0.35283494,-0.009066919
11.871679,2364.3562,5345.669,10909.8955,3.5294,2.800367,117.0,0.4610561,13.464579,66.56989,0.9515843,0.005557443,0.020227117,-0.008341819,-0.08816878,-0.09254343,0.35300228,-0.009253726
11.877739,2361.237,5339.1567,10919.578,3.5292554,2.8086445,118.0,0.46100822,13.47129,66.599045,0.95249116,0.005700942,0.020635454,-0.008535105,-0.088265605,-0.09299365,0.35312593,-0.009452846
11.883635,2358.1365,5332.6396,10929.24,3.5290976,2.8168263,119.0,0.46096167,13.477905,66.62768,0.95338154,0.005843021,0.02103994,-0.0087288655,-0.0883582,-0.093441255,0.35324362,-0.0096498905
11.88938,2355.0532,5326.1187,10938.884,3.528925,2.8249133,120.0,0.46091595,13.4844265,66.65589,0.9542603,0.0059833005,0.02143935,-0.008921287,-0.08844814,-0.09388569,0.3533584,-0.009843626
11.894983,2351.9868,5319.5957,10948.508,3.528737,2.8329065,121.0,0.46087074,13.490859,66.68373,0.9551274,0.0061207525,0.021835579,-0.009111675,-0.088534996,-0.094328396,0.35346952,-0.010034887
11.900451,2348.936,5313.0723,10958.111,3.5285327,2.840807,122.0,0.46082628,13.49722,66.71111,0.9559843,0.0062581394,0.022227636,-0.00930151,-0.08861895,-0.09476833,0.3535779,-0.010223492
11.905783,2345.9001,5306.5503,10967.695,3.5283115,2.8486152,123.0,0.46078497,13.503486,66.73809,0.9568305,0.0063888254,0.02262346,-0.009480621,-0.08870782,-0.09520535,0.35369045,-0.010399737
11.91098,2342.878,5300.031,10977.261,3.5280724,2.8563325,124.0,0.4607533,13.509662,66.76459,0.9576768,0.0065059615,0.023052325,-0.009615001,-0.08882837,-0.09563739,0.35382912,-0.01052596
